id;count;ax44
071069927;3.000;0090
071070092;1.000;0090
071070835;3.000;0090
071070836;2.000;0090
071070865;1.000;0090
071070909;1.000;0090
071070937;8.000;0090
071071305;1.000;0090
071071355;1.000;0090
071071359;3.000;0090
071071624;1.000;0090
071071644;1.000;0090
071071713;1.000;0090
071071799;1.000;0090
071071800;123.000;0090
071072037;3.000;0090
071072106;1.000;0090
071072107;3.000;0090
071073411;6.000;0090
071073904;7.000;0090
071074579;1.000;0090
071074581;1.000;0090
071074691;1.000;0090
071074875;161.000;0090
071075259;1.000;0090
071075260;3.000;0090
071075316;1.000;0090
071075484;1.000;0090
071075588;1.000;0090
071075676;1.000;0090
071075812;2.000;0090
071075821;4.000;0090
071076062;1.000;0090
071076078;1.000;0090
071076079;1.000;0090
071076080;2.000;0090
071076368;1.000;0090
071076409;1.000;0090
071076872;1.000;0090
071076873;1.000;0090
071076875;1.000;0090
071076882;1.000;0090
071076886;1.000;0090
071077261;3.000;0090
071077349;1.000;0090
071077362;1.000;0090
071077375;1.000;0090
071077483;3.000;0090
071077684;3.000;0090
071077729;1.000;0090
071077745;3.000;0090
071077770;3.000;0090
071077782;3.000;0090
071078010;1.000;0090
071078145;1.000;0090
071078193;8.000;0090
071078214;1.000;0090
071078250;3.000;0090
071078301;3.000;0090
071078302;3.000;0090
071078304;3.000;0090
071078360;1.000;0090
071078557;3.000;0090
071079309;1.000;0090
071079311;3.000;0090
071079366;1.000;0090
071079496;6.000;0090
071079526;1.000;0090
071079704;2.000;0090
071079705;1.000;0090
071079706;2.000;0090
071079708;1.000;0090
071079832;1.000;0090
071079918;1.000;0090
071079919;1.000;0090
071080061;1.000;0090
071080280;2.000;0090
071080598;1.000;0090
071080599;3.000;0090
071080629;1.000;0090
071080672;8.000;0090
071080781;7.000;0090
071081011;1.000;0090
071081380;1.000;0090
071081689;3.000;0090
071081775;24.000;0090
071082050;3.000;0090
071082109;1.000;0090
071082292;1.000;0090
071082429;1.000;0090
071082497;1.000;0090
071082501;1.000;0090
071082597;1.000;0090
071082598;3.000;0090
071082784;1.000;0090
071082788;1.000;0090
071082803;1.000;0090
071082806;1.000;0090
071082816;1.000;0090
071082850;1.000;0090
071082919;4.000;0090
071083013;5.000;0090
071083052;1.000;0090
071083128;1.000;0090
071083169;1.000;0090
071083170;1.000;0090
071083206;1.000;0090
071083209;8.000;0090
071083260;2.000;0090
071083263;1.000;0090
071083264;3.000;0090
071083376;9.000;0090
071083423;2.000;0090
071083564;5.000;0090
071083565;70.000;0090
071083566;26.000;0090
071083568;13.000;0090
071083569;18.000;0090
071083598;3.000;0090
071083599;1.000;0090
071083600;3.000;0090
071083661;1.000;0090
071084032;2.000;0090
071084212;11.000;0090
071084247;10.000;0090
071084442;1.000;0090
071084590;1.000;0090
071084892;1.000;0090
071084918;1.000;0090
071084954;1.000;0090
071084964;12.000;0090
071084980;7.000;0090
071084981;1.000;0090
071085044;8.000;0090
071085045;5.000;0090
071085050;12.000;0090
071085055;13.000;0090
071085056;8.000;0090
071085058;9.000;0090
071085096;1.000;0090
071085112;1.000;0090
071085212;73.000;0090
071085252;2.000;0090
071085253;3.000;0090
071085388;5.000;0090
071085390;27.000;0090
071085407;1.000;0090
071085410;1.000;0090
071085421;14.000;0090
071085457;5.000;0090
071085459;1.000;0090
071085465;1.000;0090
071085492;46.000;0090
071085509;2.000;0090
071085582;2.000;0090
071085700;1.000;0090
071085722;1.000;0090
071085724;23.000;0090
071085749;1.000;0090
071085801;109.000;0090
071085802;85.000;0090
071085811;1.000;0090
071085812;1.000;0090
071085813;2.000;0090
071085818;10.000;0090
071085824;2.000;0090
071085825;2.000;0090
071085827;2.000;0090
071086016;1.000;0090
071086065;1.000;0090
071086172;1.000;0090
071086175;1.000;0090
071086190;1.000;0090
071086197;1.000;0090
071086266;3.000;0090
071086271;1.000;0090
071086273;4.000;0090
071086315;1.000;0090
071086316;1.000;0090
071086318;1.000;0090
071086420;15.000;0090
071086426;3.000;0090
071086482;10.000;0090
071086490;3.000;0090
071086513;8.000;0090
071086514;14.000;0090
071086654;3.000;0090
071086696;4.000;0090
071086697;25.000;0090
071086748;230.000;0090
071086749;102.000;0090
071086761;1.000;0090
071086894;16.000;0090
071086900;52.000;0090
071086914;20.000;0090
071086917;6.000;0090
071086919;23.000;0090
071086920;15.000;0090
071087158;1.000;0090
071087160;2.000;0090
071087211;4.000;0090
071087286;3.000;0090
071087287;23.000;0090
071087317;1.000;0090
071087332;3.000;0090
071087335;2.000;0090
071087336;3.000;0090
071087337;1.000;0090
071087382;29.000;0090
071087383;1.000;0090
071087384;1.000;0090
071087389;3.000;0090
071087423;1.000;0090
071087496;6.000;0090
071087503;1.000;0090
071087557;6.000;0090
071087585;3.000;0090
071087678;1.000;0090
071087780;1.000;0090
071087804;45.000;0090
071087874;1.000;0090
