id;
78340023;0.9833333
78340024;0.9166667
78340027;0.8833333
78340028;0.9833333
78340050;0.9666667
78340059;0.9666667
78340060;0.9833333
78340064;0.9166667
78340072;0.0000000
78340092;0.9666667
78442946;0.0000000
78442947;0.0166667
78520007;0.4000000
78520008;1.0000000
78520009;0.1000000
78520010;0.0166667
78520045;0.0000000
78520164;0.0000000
78540070;1.0000000
79000268;0.0000000
79000272;0.0000000
79000273;0.0000000
79010013;0.0000000
79010020;0.0166667
79010021;0.0000000
80000622;0.0000000
80000624;0.0333333
80000636;0.3833333
80000686;0.4333333
80000690;0.3833333
80000732;0.7666667
80000785;0.0000000
80000787;0.0166667
80000788;0.0166667
80000789;0.0166667
80000792;0.0166667
80000903;0.0166667
80000904;0.0000000
80122207;0.9666667
80122208;0.9666667
80122210;0.5833333
80122212;0.9666667
80122213;0.9166667
80122215;0.3000000
80122216;0.9833333
81000532;0.0166667
81000533;0.0166667
82000030;0.9666667
82000033;0.0666667
82000034;0.0333333
82000037;0.9833333
82000038;1.0000000
82000044;0.9833333
82110163;0.9833333
82110165;0.0000000
82110166;0.0000000
82110168;0.8500000
82110169;0.7333333
82110170;0.0000000
82110171;0.9666667
82110185;0.0000000
82110254;0.0000000
82110302;0.0000000
82110304;0.8166667
82110305;0.9333333
82110306;0.0166667
82110307;0.8000000
82110308;0.8000000
82110314;0.9833333
82110319;1.0000000
82110320;0.9333333
82120069;0.5500000
82120073;0.6500000
82120147;0.9666667
82120148;0.9000000
82320212;0.0000000
83216191;0.1000000
84114008;0.0000000
84312023;0.5000000
84312024;0.0000000
84312041;0.0000000
84312042;0.0000000
84414103;0.0000000
84414104;0.0333333
84414105;0.0500000
84415038;0.6000000
84415039;0.6166667
84415047;0.1000000
84415049;0.4500000
84415050;0.1166667
84415051;0.5333333
84415067;0.2500000
84415085;0.6000000
84415086;0.3833333
84420014;0.0666667
84420015;0.3833333
84420016;0.2500000
84420018;0.3166667
84420048;0.0000000
84420110;0.0000000
84420818;0.2166667
84422020;0.0833333
84422021;0.0166667
84422022;0.0166667
84425019;0.5833333
84425046;0.0000000
84425050;0.5666667
84425051;0.1666667
84425059;0.6333333
84425060;0.6500000
84442037;0.0000000
84442038;0.0333333
84442039;0.0000000
84442040;0.0166667
84499999;0.0000000
85111268;0.0166667
85111270;0.3666667
85111271;0.4166667
85111272;0.2833333
85111313;0.0166667
85130896;0.8666667
85130926;0.9500000
85130928;0.0333333
85222077;0.6000000
85222124;0.0000000
85222146;0.0333333
85222148;0.0000000
85222149;0.0166667
85222157;0.0166667
85222161;0.9833333
85400018;0.8000000
85400033;0.0000000
85400036;0.9333333
85400039;0.0666667
85400222;0.4000000
85400226;0.1500000
85412006;0.8666667
85412007;0.0000000
85412010;0.2500000
85412012;0.0000000
85412013;0.0000000
85511072;0.9333333
85511073;0.9833333
85511077;0.8666667
85512001;0.4833333
85513007;0.1666667
85514041;0.1666667
85514047;0.2000000
85514048;0.3500000
85514049;0.2166667
85514056;0.8333333
85524020;0.1500000
86000181;1.0000000
86000182;0.1666667
86000183;0.2500000
86000184;0.0166667
86021010;0.0000000
86110151;0.0000000
86119077;0.0000000
86119079;0.0166667
86119108;0.0166667
86200441;0.0000000
88000042;0.8666667
88000043;0.8333333
88000048;0.9500000
88000081;0.7166667
88000088;0.0000000
88000091;0.0166667
88000092;0.0166667
88000093;0.0500000
88000096;0.8666667
88000098;0.0000000
88000119;0.9666667
88009933;0.0500000
89000112;1.0000000
89000225;0.0500000
89000296;0.3333333
89000297;0.2000000
89000299;0.2666667
89000300;0.0166667
89000309;0.1666667
89000337;0.4000000
89000339;0.3333333
89000349;0.0000000
89000350;0.2000000
89000351;0.0333333
89000354;0.8666667
89000355;0.5500000
89000400;0.0166667
89000482;0.0166667
89000483;0.0000000
89000484;0.0000000
89000486;0.0000000
89000487;0.9500000
89000488;0.1000000
89000489;0.1833333
89000490;0.0666667
89000496;0.0500000
89000506;0.1166667
