brand_id;brand_name
5355242;FAVORIT
5355243;FB
5355244;FEED BACK
5355245;FELLOWES
5355246;FERANT
5355247;FERROLI
5355248;FILKO
5355249;FINAL AUDIO
5355250;FINISH
5355251;FISHER-PRICE
5355252;FISKARS
5355253;FLAGMAN-TRADE
5355254;FLAMINGO
5355255;FLAVIA
5355256;FLIGHT
5355257;FLY
5355258;FLY LADY
5355259;FLYINGHORSE
5355260;FONTIGNAC
5355261;FORMOZA
5355262;FORTUNA
5355263;FOUQUET
5355264;FRAU SCHMIDT
5355265;FRIGO
5355266;FRISCH AKTIV
5355267;FRUT
5355268;FRYBEST
5355269;FTEG
5355270;FUJI
5355271;FUJI SUPERIA
5355272;FUJIFILM
5355273;FUJITSU
5355274;FUJITSU SIEMENS
5355275;FULLMARK
5355276;FUNAI
5355277;FUSION
5355278;G-STAR
5355279;GAGGENAU
5355280;GAGGIA
5355281;GAL
5355282;GALANTE
5355283;GALAXY
5355284;GAMA
5355285;GAMLET
5355286;GARANTERM
5355287;GARMIN
5355288;GASTROBACK
5355289;GE
5355290;GECKO
5355291;GEFEST
5355292;GEIZER
5355293;GEMPLUS
5355294;GENERAL
5355295;GENERAL CLIMATE
5355296;GENERAL FROST
5355297;GENERAL SATELLITE
5355298;GENIUS
5355299;GHITINI
5355300;GHS
5355301;GIARETTI
5355302;GIGA-BYTE
5355303;GIGASET
5355304;GILLETTE
5355305;GIMI
5355306;GIOS
5355307;GIOTTOS
5355308;GLACIATECH
5355309;GLASS - STORE
5355310;GLASSER
5355311;GLOBAL SIM
5355312;GLOBO
5355313;GLOBOL
5355314;GLOFIISH
5355315;GMINI
5355316;GOLD STAR
5355317;GOLDBUCH
5355318;GOLDEN POWER
5355319;GOLDEN WIFI
5355320;GOLLA
5355321;GONDOL
5355322;GOODWIN EUROPA
5355323;GOOOD
5355324;GORENJE
5355325;GP
5355326;GRAND
5355327;GRAND RECORDS
5355328;GRAND-X
5355329;GRAY
5355330;GREEN PAN
5355331;GREENTEK
5355332;GRETA
5355333;GRIFFIN
5355334;GROL
5355335;GRUNDIG
5355336;GRUNDIG PLANATRON
5355337;GSM
5355338;GSMART
5355339;GUNSAN
5355340;GVC
5355341;H2O
5355342;HAIER
5355343;HAIER GROUP
5355344;HAILO
5355345;HAMA
5355346;HAMILEX
5355347;HANDER
5355348;HANDY STITCH
5355349;HANS&GRETCHEN
5355350;HANSA
5355351;HANSPRING
5355352;HANTAREX
5355353;HARMA
5355354;HARMAN KARDON
5355355;HARMAN-KARDON
5355356;HAUSMANN
5355357;HAWKING
5355358;HEATEQ
5355359;HECO
5355360;HEIDRUN
5355361;HEINEKEN
5355362;HELFER
5355363;HELIOS
5355364;HELIX
5355365;HENZO
5355366;HERBALIS
5355367;HERTZ
5355368;HEXBUG
5355369;HIGHLAND AUDIO
5355370;HIGHSCREEN
5355371;HILTON
5355372;HISENSE
5355373;HITACHI
5355374;HITECHNIC
5355375;HOFMANN
5355376;HOHNER
5355377;HOLDER
5355378;HOLSTER
5355379;HOLUX
5355380;HOMECAST
5355381;HOMEFRIEND
5355382;HONEYWELL
5355383;HOOVER
5355384;HORIZONT
5355385;HOT POT
5355386;HOTPOINT/ARISTON
5355387;HOTTER
5355388;HP
5355389;HTC
5355390;HUAWEI
5355391;HUBERTUS
5355392;HUMAX
5355393;HUSQVARNA
5355394;HW
5355395;HYUN WON
5355396;HYUNDAI
5355397;I-BEAD
5355398;I-MATE
5355399;IAUDIO
5355400;IAXESS
5355401;IBM
5355402;IBOX
5355403;IC
5355404;ICA MUSIC
5355405;ICA MUSIC DVD
5355406;ICAR
5355407;ICONBIT
5355408;IFROGZ
5355409;IGC
5355410;IGLOO
5355411;IGO
5355412;IIYAMA
5355413;ILUV
5355414;IMAGE ART
5355415;IMAGE GRAPH
5355416;IMATION
5355417;IMETEC
5355418;IMPRESSION
5355419;IN SINK ERATOR
5355420;INCASE
